date_checked,origin,destination,price_usd,airlines,out_departure,ret_departure,seats_left
2025-11-08,ORD,AMS,854.63,KL,2026-03-22T17:25:00,2026-04-02T12:35:00,9
2025-11-08,ORD,BCN,,,,,
2025-11-08,ORD,BEG,,,,,
2025-11-08,ORD,BRU,750.83,UA,2026-03-22T17:55:00,2026-04-02T10:15:00,9
2025-11-08,ORD,CDG,612.13,AF,2026-03-22T18:20:00,2026-04-02T13:10:00,9
2025-11-08,ORD,CPH,,,,,
2025-11-08,ORD,DUB,700.33,IB,2026-03-22T16:55:00,2026-04-02T16:40:00,9
2025-11-08,ORD,FCO,800.93,UA,2026-03-22T16:45:00,2026-04-02T09:45:00,9
2025-11-08,ORD,FRA,849.83,UA,2026-03-22T17:20:00,2026-04-02T08:50:00,9
2025-11-08,ORD,IST,892.73,TK,2026-03-22T21:20:00,2026-04-02T06:30:00,9
2025-11-08,ORD,KEF,527.43,FI,2026-03-22T19:30:00,2026-04-02T16:25:00,5
2025-11-08,ORD,KRK,,,,,
2025-11-08,ORD,LHR,761.43,UA,2026-03-22T16:45:00,2026-04-02T08:00:00,2
2025-11-08,ORD,LIS,,,,,
2025-11-08,ORD,MAD,696.93,"AY,IB",2026-03-22T18:40:00,2026-04-02T16:40:00,7
2025-11-08,ORD,MUC,828.93,UA,2026-03-22T22:50:00,2026-04-02T11:30:00,9
2025-11-08,ORD,MXP,,,,,
2025-11-08,ORD,VIE,,,,,
2025-11-08,ORD,WAW,,,,,
2025-11-08,ORD,ZRH,747.43,UA,2026-03-22T17:10:00,2026-04-02T13:05:00,9
2025-11-09,ORD,AMS,854.63,KL,2026-03-22T17:25:00,2026-04-02T12:35:00,9
2025-11-09,ORD,BCN,,,,,
2025-11-09,ORD,BEG,,,,,
2025-11-09,ORD,BRU,750.83,UA,2026-03-22T17:55:00,2026-04-02T10:15:00,9
2025-11-09,ORD,CDG,612.13,AF,2026-03-22T18:20:00,2026-04-02T13:10:00,9
2025-11-09,ORD,CPH,,,,,
2025-11-09,ORD,DUB,825.33,IB,2026-03-22T16:50:00,2026-04-02T16:40:00,9
2025-11-09,ORD,FCO,990.93,UA,2026-03-22T16:45:00,2026-04-02T09:45:00,9
2025-11-09,ORD,FRA,849.83,UA,2026-03-22T17:20:00,2026-04-02T08:50:00,9
2025-11-09,ORD,IST,897.73,TK,2026-03-22T12:50:00,2026-04-02T06:30:00,9
2025-11-09,ORD,KEF,527.43,FI,2026-03-22T19:30:00,2026-04-02T16:25:00,5
2025-11-09,ORD,KRK,,,,,
2025-11-09,ORD,LHR,761.43,UA,2026-03-22T16:45:00,2026-04-02T08:00:00,7
2025-11-09,ORD,LIS,,,,,
2025-11-09,ORD,MAD,696.93,"AY,IB",2026-03-22T18:40:00,2026-04-02T16:40:00,7
2025-11-09,ORD,MUC,830.93,UA,2026-03-22T22:50:00,2026-04-02T11:30:00,9
2025-11-09,ORD,MXP,,,,,
2025-11-09,ORD,VIE,,,,,
2025-11-09,ORD,WAW,,,,,
2025-11-09,ORD,ZRH,747.43,UA,2026-03-22T17:10:00,2026-04-02T13:05:00,9
2025-11-10,ORD,AMS,854.63,KL,2026-03-22T17:25:00,2026-04-02T12:35:00,9
2025-11-10,ORD,BCN,,,,,
2025-11-10,ORD,BEG,,,,,
2025-11-10,ORD,BRU,750.83,UA,2026-03-22T17:55:00,2026-04-02T10:15:00,9
2025-11-10,ORD,CDG,612.13,AF,2026-03-22T18:20:00,2026-04-02T13:10:00,9
2025-11-10,ORD,CPH,,,,,
2025-11-10,ORD,DUB,825.33,IB,2026-03-22T16:50:00,2026-04-02T16:40:00,9
2025-11-10,ORD,FCO,990.93,UA,2026-03-22T16:45:00,2026-04-02T09:45:00,9
2025-11-10,ORD,FRA,849.83,UA,2026-03-22T16:20:00,2026-04-02T08:50:00,9
2025-11-10,ORD,IST,897.73,TK,2026-03-22T12:50:00,2026-04-02T06:30:00,9
2025-11-10,ORD,KEF,527.43,FI,2026-03-22T19:30:00,2026-04-02T16:25:00,5
2025-11-10,ORD,KRK,,,,,
2025-11-10,ORD,LHR,761.43,UA,2026-03-22T16:45:00,2026-04-02T08:00:00,7
2025-11-10,ORD,LIS,,,,,
2025-11-10,ORD,MAD,696.93,"AY,IB",2026-03-22T18:40:00,2026-04-02T16:40:00,7
2025-11-10,ORD,MUC,830.93,UA,2026-03-22T22:50:00,2026-04-02T11:30:00,9
2025-11-10,ORD,MXP,,,,,
2025-11-10,ORD,VIE,,,,,
2025-11-10,ORD,WAW,,,,,
2025-11-10,ORD,ZRH,747.43,UA,2026-03-22T17:10:00,2026-04-02T13:05:00,9
2025-11-11,ORD,AMS,854.93,KL,2026-03-22T17:25:00,2026-04-02T12:35:00,9
2025-11-11,ORD,BCN,,,,,
2025-11-11,ORD,BEG,,,,,
2025-11-11,ORD,BRU,750.93,UA,2026-03-22T17:55:00,2026-04-02T10:15:00,9
2025-11-11,ORD,CDG,612.63,AF,2026-03-22T18:20:00,2026-04-02T13:10:00,9
2025-11-11,ORD,CPH,,,,,
2025-11-11,ORD,DUB,825.43,IB,2026-03-22T16:50:00,2026-04-02T16:40:00,9
2025-11-11,ORD,FCO,991.13,UA,2026-03-22T16:45:00,2026-04-02T09:45:00,9
2025-11-11,ORD,FRA,850.23,UA,2026-03-22T17:20:00,2026-04-02T08:50:00,9
2025-11-11,ORD,IST,897.73,TK,2026-03-22T12:50:00,2026-04-02T06:30:00,9
2025-11-11,ORD,KEF,527.53,FI,2026-03-22T19:30:00,2026-04-02T16:25:00,5
2025-11-11,ORD,KRK,,,,,
2025-11-11,ORD,LHR,762.53,UA,2026-03-22T16:45:00,2026-04-02T08:00:00,7
2025-11-11,ORD,LIS,,,,,
2025-11-11,ORD,MAD,696.93,"AY,IB",2026-03-22T18:40:00,2026-04-02T16:40:00,7
2025-11-11,ORD,MUC,831.43,UA,2026-03-22T22:50:00,2026-04-02T11:30:00,9
2025-11-11,ORD,MXP,,,,,
2025-11-11,ORD,VIE,,,,,
2025-11-11,ORD,WAW,,,,,
2025-11-11,ORD,ZRH,747.63,UA,2026-03-22T17:10:00,2026-04-02T13:05:00,9
2025-11-12,ORD,AMS,854.93,KL,2026-03-22T17:25:00,2026-04-02T12:35:00,9
2025-11-12,ORD,BCN,,,,,
2025-11-12,ORD,BEG,,,,,
2025-11-12,ORD,BRU,750.93,UA,2026-03-22T17:55:00,2026-04-02T10:15:00,9
2025-11-12,ORD,CDG,612.53,AF,2026-03-22T18:20:00,2026-04-02T13:10:00,9
2025-11-12,ORD,CPH,,,,,
2025-11-12,ORD,DUB,825.43,IB,2026-03-22T16:50:00,2026-04-02T16:40:00,9
2025-11-12,ORD,FCO,801.03,UA,2026-03-22T16:45:00,2026-04-02T09:45:00,9
2025-11-12,ORD,FRA,850.23,UA,2026-03-22T17:20:00,2026-04-02T08:50:00,9
